"","X","alpha","birthdate","deathdate","index","locx","locy","mutation_rate","mutations","parent_index","proliferation_rate","norm_locx","norm_locy","sampled","cluster"
"1",7,0.5,2,13.4583333333333,7,499,499,0.2,"[]",2,1,-1.5,-3.5,FALSE,8
"2",16,0.5,2.5,13.4583333333333,16,499,502,0.2,"[0, 1]",10,1,-1.5,-0.5,FALSE,7
"3",26,0.5,3.125,13.4583333333333,26,500,500,0.2,"[2]",8,1,-0.5,-2.5,TRUE,8
"4",29,0.5,3.33333333333333,13.4583333333333,29,498,500,0.2,"[0]",24,1,-2.5,-2.5,FALSE,8
"5",30,0.5,3.33333333333333,13.4583333333333,30,499,501,0.2,"[0]",24,1,-1.5,-1.5,FALSE,8
"6",33,0.5,3.41666666666666,13.4583333333333,33,499,504,0.2,"[0, 1]",20,1,-1.5,1.5,FALSE,7
"7",34,0.5,3.41666666666666,13.4583333333333,34,498,503,0.2,"[0, 1]",20,1,-2.5,0.5,FALSE,7
"8",35,0.5,3.45833333333333,13.4583333333333,35,500,503,0.2,"[0, 6]",23,1,-0.5,0.5,FALSE,8
"9",38,0.5,3.45833333333333,13.4583333333333,38,499,500,0.2,"[0, 7]",28,1,-1.5,-2.5,TRUE,8
"10",42,0.5,3.58333333333333,13.4583333333333,42,499,503,0.2,"[0, 1, 3]",13,1,-1.5,0.5,FALSE,7
"11",45,0.5,3.66666666666666,13.4583333333333,45,499,505,0.2,"[0, 1, 8]",44,1,-1.5,2.5,FALSE,7
"12",46,0.5,3.66666666666666,13.4583333333333,46,498,504,0.2,"[0, 1]",44,1,-2.5,1.5,FALSE,7
"13",52,0.5,3.70833333333333,13.4583333333333,52,498,501,0.2,"[0]",18,1,-2.5,-1.5,FALSE,8
"14",58,0.5,3.95833333333333,13.4583333333333,58,500,501,0.2,"[2]",48,1,-0.5,-1.5,FALSE,8
"15",63,0.5,3.99999999999999,13.4583333333333,63,497,499,0.2,"[0, 9, 11]",50,1,-3.5,-3.5,FALSE,8
"16",66,0.5,3.99999999999999,13.4583333333333,66,500,502,0.2,"[0]",56,1,-0.5,-0.5,FALSE,8
"17",71,0.5,4.12499999999999,13.4583333333333,71,500,506,0.2,"[0, 1, 3]",53,1,-0.5,3.5,FALSE,7
"18",73,0.5,4.12499999999999,13.4583333333333,73,497,501,0.2,"[0, 1]",14,1,-3.5,-1.5,FALSE,7
"19",74,0.5,4.12499999999999,13.4583333333333,74,498,502,0.2,"[0, 1]",14,1,-2.5,-0.5,FALSE,7
"20",78,0.5,4.12499999999999,13.4583333333333,78,498,505,0.2,"[0, 1]",43,1,-2.5,2.5,FALSE,7
"21",87,0.5,4.33333333333333,13.4583333333333,87,502,501,0.2,"[2]",82,1,1.5,-1.5,FALSE,8
"22",88,0.5,4.33333333333333,13.4583333333333,88,501,500,0.2,"[2]",82,1,0.5,-2.5,FALSE,8
"23",89,0.5,4.375,13.4583333333333,89,496,502,0.2,"[0]",86,1,-4.5,-0.5,FALSE,8
"24",90,0.5,4.375,13.4583333333333,90,497,502,0.2,"[0]",86,1,-3.5,-0.5,FALSE,8
"25",92,0.5,4.41666666666666,13.4583333333333,92,497,500,0.2,"[0, 14]",84,1,-3.5,-2.5,FALSE,8
"26",93,0.5,4.41666666666666,13.4583333333333,93,501,498,0.2,"[0]",62,1,0.5,-4.5,FALSE,8
"27",94,0.5,4.41666666666666,13.4583333333333,94,500,499,0.2,"[0]",62,1,-0.5,-3.5,FALSE,8
"28",96,0.5,4.41666666666666,13.4583333333333,96,497,504,0.2,"[0, 1, 5]",31,1,-3.5,1.5,FALSE,1
"29",101,0.5,4.54166666666666,13.4583333333333,101,496,503,0.2,"[0, 1, 4, 17]",60,1,-4.5,0.5,FALSE,10
"30",102,0.5,4.54166666666666,13.4583333333333,102,497,503,0.2,"[0, 1, 4]",60,1,-3.5,0.5,FALSE,10
"31",105,0.5,4.625,13.4583333333333,105,497,506,0.2,"[0, 1, 18]",98,1,-3.5,3.5,FALSE,7
"32",107,0.5,4.66666666666667,13.4583333333333,107,502,506,0.2,"[0, 1, 3]",69,1,1.5,3.5,FALSE,7
"33",108,0.5,4.66666666666667,13.4583333333333,108,501,505,0.2,"[0, 1, 3]",69,1,0.5,2.5,FALSE,7
"34",116,0.5,4.75,13.4583333333333,116,499,506,0.2,"[0, 1]",77,1,-1.5,3.5,TRUE,7
"35",120,0.5,4.83333333333333,13.4583333333333,120,500,504,0.2,"[0, 1, 3]",70,1,-0.5,1.5,FALSE,7
"36",121,0.5,4.875,13.4583333333333,121,502,504,0.2,"[0, 22]",55,1,1.5,1.5,FALSE,8
"37",122,0.5,4.875,13.4583333333333,122,501,503,0.2,"[0]",55,1,0.5,0.5,FALSE,8
"38",124,0.5,4.91666666666667,13.4583333333333,124,501,501,0.2,"[2]",57,1,0.5,-1.5,TRUE,8
"39",126,0.5,4.91666666666667,13.4583333333333,126,502,500,0.2,"[2]",67,1,1.5,-2.5,FALSE,8
