,alpha,birthdate,deathdate,index,locx,locy,mutation_rate,mutations,parent_index,proliferation_rate
0,0.0,0.0,15.208333333333252,0,500,500,0.1,[0],0,1
1,0.0,1.5416666666666672,15.208333333333252,1,499,501,0.1,[0],0,1
2,0.0,1.7500000000000009,15.208333333333252,2,500,499,0.1,[0],0,1
3,0.0,1.875000000000001,15.208333333333252,3,501,500,0.1,[0],0,1
4,0.0,2.041666666666668,15.208333333333252,4,501,499,0.1,"[0, 1]",0,1
5,0.0,2.1666666666666674,15.208333333333252,5,498,500,0.1,[0],1,1
6,0.0,2.291666666666667,15.208333333333252,6,501,498,0.1,[0],4,1
7,0.0,2.458333333333333,15.208333333333252,7,501,501,0.1,[0],3,1
8,0.0,2.541666666666666,15.208333333333252,8,500,501,0.1,[0],3,1
9,0.0,2.541666666666666,15.208333333333252,9,499,499,0.1,[0],0,1
10,0.5,2.6666666666666656,15.208333333333252,10,498,498,0.1,[0],9,1
11,0.5,2.708333333333332,15.208333333333252,11,499,498,0.1,[0],9,1
12,0.0,2.708333333333332,15.208333333333252,12,500,502,0.1,[0],8,1
13,0.0,2.708333333333332,15.208333333333252,13,502,500,0.1,[0],4,1
14,0.5,2.9583333333333313,15.208333333333252,14,498,499,0.1,[0],11,1
15,0.0,2.999999999999998,15.208333333333252,15,500,503,0.1,[0],12,1
16,0.0,2.999999999999998,15.208333333333252,16,499,500,0.1,[0],1,1
17,0.0,3.0416666666666643,15.208333333333252,17,500,498,0.1,[0],2,1
18,0.0,3.0416666666666643,15.208333333333252,18,502,501,0.1,[0],13,1
19,0.0,3.083333333333331,15.208333333333252,19,499,502,0.1,[0],8,1
20,0.0,3.1249999999999973,15.208333333333252,20,501,502,0.1,[0],12,1
21,0.0,3.2083333333333304,15.208333333333252,21,497,501,0.1,[0],5,1
22,0.5,3.2083333333333304,15.208333333333252,22,497,498,0.1,[0],14,1
23,0.0,3.249999999999997,15.208333333333252,23,502,499,0.1,"[0, 1, 5]",4,1
24,0.0,3.2916666666666634,15.208333333333252,24,501,503,0.1,[0],12,1
25,0.5,3.33333333333333,15.208333333333252,25,502,503,0.1,[0],20,1
26,0.0,3.3749999999999964,15.208333333333252,26,502,502,0.1,[0],24,1
27,0.0,3.3749999999999964,15.208333333333252,27,497,500,0.1,"[0, 2]",5,1
28,0.0,3.416666666666663,15.208333333333252,28,496,501,0.1,"[0, 2]",27,1
29,0.0,3.4583333333333295,15.208333333333252,29,499,503,0.1,[0],19,1
30,0.5,3.499999999999996,15.208333333333252,30,497,499,0.1,[0],14,1
31,0.0,3.5416666666666625,15.208333333333252,31,495,502,0.1,"[0, 2]",28,1
32,0.0,3.6249999999999956,15.208333333333252,32,498,502,0.1,[0],21,1
33,0.0,3.666666666666662,15.208333333333252,33,497,502,0.1,"[0, 3]",21,1
34,0.0,3.7083333333333286,15.208333333333252,34,501,504,0.1,"[0, 7]",24,1
35,0.5,3.7083333333333286,15.208333333333252,35,498,497,0.1,[0],22,1
