# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Wed Apr 22 19:57:13 PDT 2020 [seed=1587610619714]
# -window -working -options
state	joint	prior	likelihood	treeModel.rootHeight	treeLength	yule.birthRate	clock.rate	meanRate	X_coord.precision.col1	X_coord.varCovar.X_coord.precision.col1	X_coord.diffusionRate	Y_coord.precision.col1	Y_coord.varCovar.Y_coord.precision.col1	Y_coord.diffusionRate	treeLikelihood	branchRates	X_coord.traitLikelihood	Y_coord.traitLikelihood	speciation
0	-167954.7598526278	-1796.0118352254165	-166158.74801740237	193.71383050406828	914.5227136565504	2.0	1.0	1.0	0.05	20.0	0.3480541578960198	0.05	20.0	0.42618571061554644	-2183.472022662334	0.0	-34509.226104661095	-129466.04989007894	-1795.0812154656637
1000	-1994.452799174205	-77.48087576004416	-1916.9719234141608	23.757219180606306	102.16148752174934	0.4605006148257485	1.0	1.0	2.5630549514757157E-5	39015.9407009294	8.621253568343873	2.198157781915027E-5	45492.63971073103	8.930885320721432	-1490.1454492881287	0.0	-211.89847032161646	-214.92800380441562	-85.0420411351763
2000	-1215.5452574418407	10.234627732702707	-1225.7798851745433	2.9092856088438346	11.74682190698077	1.617561216714674	1.0	1.0	7.824208247447099E-5	12780.845912764174	47.60606419505535	9.214348510017867E-5	10852.63921711662	53.00850733642069	-826.5881481630738	0.0	-196.87555187793168	-202.3161851335378	4.56385652930272
3000	-918.6987722136286	98.6247911624994	-1017.3235633761279	0.402733912165026	2.473522641486196	15.868642794451587	1.0	1.0	1.267751807512616E-4	7887.97928801256	203.39098314096398	1.1049102924400557E-4	9050.508505913413	235.9656374971708	-617.6505782312012	0.0	-197.49087961067139	-202.18210553425538	96.20145828172788
4000	-832.5473731628579	112.24083687061811	-944.7882100334759	0.16585728366531627	1.8379845993072605	28.43245295572464	1.0	1.0	3.518292729555663E-4	2842.2876573044373	240.70080521680313	2.1229139230163186E-4	4710.506578519968	248.42326651775994	-550.3451543011838	0.0	-201.8304605511335	-192.61259518115864	111.77061826836926
5000	-798.2303874960166	116.21013560369369	-914.4405230997104	0.12106319836333569	1.7065049095347289	29.429640283219104	1.0	1.0	1.5824366834334136E-4	6319.368164736295	328.8951389174027	2.517576229273873E-4	3972.0743641133877	267.2269910281425	-524.818011175962	0.0	-197.91871172683904	-191.7038001969093	115.49628900038036
6000	-763.5671309920269	118.77115214214776	-882.3382831341747	0.11710066237928815	1.606327916792161	31.347292947611653	1.0	1.0	1.9235663559287426E-4	5198.676910301733	306.32283409890505	3.5470817401171283E-4	2819.2189333843176	245.9467515645718	-494.974232315703	0.0	-192.9618718545114	-194.40217896396038	118.45723600800376
7000	-754.043448772196	114.74441856008673	-868.7878673322828	0.08501108178474708	1.7361230670477623	30.895217737005037	1.0	1.0	3.0286574994039243E-4	3301.7929567698293	249.23086379659208	2.546807595530891E-4	3926.4842846973934	258.3712825936957	-486.42459702665707	0.0	-189.25990420217246	-193.10336610345325	114.46156872586498
8000	-742.5104460711273	111.78688445323274	-854.2973305243601	0.08967784981093739	1.8625913671173444	23.489683698810815	1.0	1.0	2.1734415163564237E-4	4600.997967851506	241.71992199606132	3.336786983019025E-4	2996.8949324275713	219.67263674896614	-476.23479805694683	0.0	-191.1269630697174	-186.93556939769587	110.91982325431042
9000	-728.1276639817612	118.83554324728406	-846.9632072290452	0.0806836378963083	1.6036112056205447	29.620900976230917	1.0	1.0	3.1556109103922717E-4	3168.9584945556253	235.4642007432069	2.8096361782890025E-4	3559.179682150074	237.84300312901922	-474.4628526197642	0.0	-186.88170593507988	-185.61864867420118	118.5351223582605
