,alpha,birthdate,deathdate,index,locx,locy,mutation_rate,mutations,parent_index,proliferation_rate
0,0.5,0.0,0.5,0,500,500,0.25,[],0,1
1,0.5,0.5,2.4166666666666665,1,499,500,0.25,[],0,1
2,0.5,0.5,0.9999999999999996,2,500,500,0.25,[0],0,1
3,0.5,0.9999999999999996,3.33333333333333,3,499,501,0.25,[],2,1
4,0.5,0.9999999999999996,2.541666666666666,4,500,500,0.25,[0],2,1
5,0.5,2.4166666666666665,3.4583333333333295,5,499,499,0.25,[],1,1
6,0.5,2.4166666666666665,2.541666666666666,6,499,500,0.25,[],1,1
7,0.5,2.541666666666666,3.2916666666666634,7,501,500,0.25,"[0, 1]",4,1
8,0.5,2.541666666666666,2.708333333333332,8,500,500,0.25,[0],4,1
9,0.5,2.541666666666666,3.083333333333331,9,500,499,0.25,[],6,1
10,0.5,2.541666666666666,2.9166666666666647,10,499,500,0.25,[],6,1
11,0.5,2.708333333333332,4.2916666666666625,11,501,501,0.25,"[0, 9, 10]",8,1
12,0.5,2.708333333333332,14.499999999999929,12,500,500,0.25,[0],8,1
13,0.5,2.9166666666666647,3.3749999999999964,13,498,501,0.25,[2],10,1
14,0.5,2.9166666666666647,4.3333333333333295,14,499,500,0.25,[11],10,1
15,0.5,3.083333333333331,5.208333333333336,15,501,498,0.25,[27],9,1
16,0.5,3.083333333333331,3.249999999999997,16,500,499,0.25,[],9,1
17,0.5,3.249999999999997,3.416666666666663,17,500,498,0.25,[],16,1
18,0.5,3.249999999999997,4.124999999999995,18,500,499,0.25,[6],16,1
19,0.5,3.2916666666666634,4.166666666666662,19,501,499,0.25,"[0, 1, 7]",7,1
20,0.5,3.2916666666666634,4.416666666666663,20,501,500,0.25,"[0, 15]",7,1
21,0.5,3.33333333333333,4.875,21,499,502,0.25,[],3,1
22,0.5,3.33333333333333,4.249999999999996,22,499,501,0.25,[],3,1
23,0.5,3.3749999999999964,3.416666666666663,23,497,502,0.25,[2],13,1
24,0.5,3.3749999999999964,4.2916666666666625,24,498,501,0.25,[],13,1
25,0.5,3.416666666666663,14.499999999999929,25,499,497,0.25,[],17,1
26,0.5,3.416666666666663,5.125000000000002,26,500,498,0.25,[26],17,1
27,0.5,3.416666666666663,6.708333333333346,27,497,503,0.25,"[2, 54]",23,1
28,0.5,3.416666666666663,5.3750000000000036,28,497,502,0.25,[2],23,1
29,0.5,3.4583333333333295,5.083333333333335,29,498,500,0.25,[],5,1
30,0.5,3.4583333333333295,3.583333333333329,30,499,499,0.25,[3],5,1
31,0.5,3.583333333333329,3.7083333333333286,31,498,498,0.25,[],30,1
32,0.5,3.583333333333329,14.499999999999929,32,499,499,0.25,[3],30,1
33,0.5,3.7083333333333286,3.8749999999999947,33,497,497,0.25,"[4, 5]",31,1
34,0.5,3.7083333333333286,4.958333333333334,34,498,498,0.25,[],31,1
35,0.5,3.8749999999999947,4.45833333333333,35,498,497,0.25,[4],33,1
36,0.5,3.8749999999999947,4.3333333333333295,36,497,497,0.25,"[5, 12]",33,1
37,0.5,4.124999999999995,14.499999999999929,37,499,498,0.25,[6],18,1
38,0.5,4.124999999999995,14.499999999999929,38,500,499,0.25,[],18,1
39,0.5,4.166666666666662,4.541666666666664,39,502,498,0.25,"[0, 1, 7]",19,1
40,0.5,4.166666666666662,4.249999999999996,40,501,499,0.25,"[0, 1, 8]",19,1
41,0.5,4.249999999999996,4.3749999999999964,41,500,502,0.25,[13],22,1
42,0.5,4.249999999999996,14.499999999999929,42,499,501,0.25,[],22,1
43,0.5,4.249999999999996,4.583333333333331,43,502,499,0.25,"[0, 1, 8, 18]",40,1
44,0.5,4.249999999999996,14.499999999999929,44,501,499,0.25,"[0, 1]",40,1
45,0.5,4.2916666666666625,5.000000000000001,45,501,502,0.25,"[0, 9, 22]",11,1
46,0.5,4.2916666666666625,4.3333333333333295,46,501,501,0.25,"[0, 10]",11,1
