"","X","alpha","birthdate","deathdate","index","locx","locy","mutation_rate","mutations","parent_index","proliferation_rate","norm_locx","norm_locy","sampled"
"33",1471,0.5,11.5416666666666,13.3333333333333,1471,501,517,0.5,"[0, 1, 9, 22, 41, 45, 77, 98, 126, 134, 164, 239, 282, 526, 542, 609, 717]",1412,1,2.5,16,TRUE
"34",1520,0.5,11.7083333333333,13.3333333333333,1520,500,487,0.5,"[2, 32, 44, 53, 92, 103, 121, 184, 249, 391]",921,1,1.5,-14,TRUE
"35",1608,0.5,11.9583333333333,13.3333333333333,1608,512,498,0.5,"[0, 4, 23, 34, 78, 217, 296, 323, 374, 443, 467, 726]",1427,1,13.5,-3,TRUE
"36",1643,0.5,12.0833333333333,13.3333333333333,1643,497,485,0.5,"[2, 32, 44, 53, 91, 137, 187, 198, 285, 401, 502, 532, 539]",1554,1,-1.5,-16,TRUE
"37",1750,0.5,12.5,13.3333333333333,1750,484,497,0.5,"[2, 6, 18, 144, 195, 210, 228, 231, 291, 396, 416, 442, 448, 458, 489, 521, 531, 557, 587, 695]",1368,1,-14.5,-4,TRUE
"38",1772,0.5,12.5416666666666,13.3333333333333,1772,486,492,0.5,"[2, 6, 18, 144, 195, 210, 227, 373, 417, 573, 611, 727, 846]",1671,1,-12.5,-9,TRUE
"39",1773,0.5,12.5416666666666,13.3333333333333,1773,515,501,0.5,"[0, 4, 23, 34, 78, 217, 321, 330, 409, 470, 722, 904]",1746,1,16.5,0,TRUE
"40",1774,0.5,12.5416666666666,13.3333333333333,1774,514,500,0.5,"[0, 4, 23, 34, 78, 217, 321, 330, 409, 470, 722]",1746,1,15.5,-1,TRUE
"41",1811,0.5,12.6666666666666,13.3333333333333,1811,500,518,0.5,"[0, 1, 9, 22, 41, 45, 77, 98, 126, 134, 164, 239, 282, 554, 655, 926]",1765,1,1.5,17,TRUE
"42",1847,0.5,12.7916666666666,13.3333333333333,1847,489,486,0.5,"[2, 33, 68, 82, 94, 123, 192, 245, 290, 411, 551, 613, 661, 725, 921, 943]",1804,1,-9.5,-15,TRUE
"43",1848,0.5,12.7916666666666,13.3333333333333,1848,488,486,0.5,"[2, 33, 68, 82, 94, 123, 192, 245, 290, 411, 551, 613, 661, 725, 921]",1804,1,-10.5,-15,TRUE
"44",1856,0.5,12.8333333333333,13.3333333333333,1856,508,486,0.5,"[19, 50, 86, 109, 148, 172, 258, 278, 472, 657, 704, 713, 746, 830, 844, 930]",1826,1,9.5,-15,TRUE
"45",1905,0.5,13.0416666666666,13.3333333333333,1905,513,507,0.5,"[0, 4, 23, 34, 78, 217, 321, 330, 408, 835]",1851,1,14.5,6,TRUE
"46",1907,0.5,13.0416666666666,13.3333333333333,1907,511,488,0.5,"[19, 50, 86, 109, 148, 172, 258, 348, 493, 932, 973]",1831,1,12.5,-13,TRUE
"47",1919,0.5,13.0833333333333,13.3333333333333,1919,516,498,0.5,"[0, 4, 23, 34, 78, 217, 321, 330, 409, 470, 722, 886, 919]",1800,1,17.5,-3,TRUE
"48",1930,0.5,13.1249999999999,13.3333333333333,1930,482,495,0.5,"[2, 6, 18, 144, 195, 210, 228, 231, 291, 396, 416, 442, 448, 458, 489, 521, 531, 557, 587, 694]",1785,1,-16.5,-6,TRUE
"49",1985,0.5,13.2916666666666,13.3333333333333,1985,506,483,0.5,"[2, 32, 44, 53, 92, 103, 121, 184, 249, 391, 402, 633, 809, 879, 946, 1007, 1020]",1970,1,7.5,-18,TRUE
"50",1998,0.5,13.3333333333333,13.3333333333333,1998,513,490,0.5,"[19, 50, 86, 109, 148, 172, 258, 348, 493, 708, 923, 968, 1027]",1939,1,14.5,-11,TRUE
