"","X","alpha","birthdate","deathdate","index","locx","locy","mutation_rate","mutations","parent_index","proliferation_rate","norm_locx","norm_locy","sampled"
"1",92,0.5,4.45833333333333,13.3333333333333,92,500,499,0.5,"[12, 46]",30,1,1.5,-2,TRUE
"2",93,0.5,4.5,13.3333333333333,93,497,498,0.5,"[2, 6, 27]",62,1,-1.5,-3,TRUE
"3",126,0.5,4.95833333333333,13.3333333333333,126,502,503,0.5,"[0, 3, 7]",26,1,3.5,2,TRUE
"4",134,0.5,5,13.3333333333333,134,501,498,0.5,"[12]",91,1,2.5,-3,TRUE
"5",135,0.5,5,13.3333333333333,135,499,504,0.5,"[0, 1, 9]",78,1,0.5,3,TRUE
"6",272,0.5,6.29166666666668,13.3333333333333,272,500,508,0.5,"[0, 1, 9, 22, 41, 45, 77, 98, 118, 141]",220,1,1.5,7,TRUE
"7",360,0.5,6.83333333333335,13.3333333333333,360,496,504,0.5,"[0, 72, 120]",258,1,-2.5,3,TRUE
"8",392,0.5,6.91666666666668,13.3333333333333,392,497,494,0.5,"[2, 33, 68, 82, 94, 205]",234,1,-1.5,-7,TRUE
"9",414,0.5,7.00000000000002,13.3333333333333,414,493,499,0.5,"[2, 6, 18, 144, 195, 211, 220]",402,1,-5.5,-2,TRUE
"10",458,0.5,7.25000000000002,13.3333333333333,458,494,503,0.5,"[152]",290,1,-4.5,2,TRUE
"11",472,0.5,7.33333333333335,13.3333333333333,472,503,509,0.5,"[0, 1, 10, 14, 37, 48, 101, 127, 179, 182, 244]",420,1,4.5,8,TRUE
"12",528,0.5,7.70833333333335,13.3333333333333,528,494,495,0.5,"[2, 32, 43, 66, 193, 208]",397,1,-4.5,-6,TRUE
"13",532,0.5,7.70833333333335,13.3333333333333,532,502,493,0.5,"[2, 32, 44, 53, 92, 103, 121, 149, 181, 277]",342,1,3.5,-8,TRUE
"14",734,0.5,8.66666666666668,13.3333333333333,734,497,491,0.5,"[2, 32, 44, 53, 91, 137, 187, 198, 285, 382]",656,1,-1.5,-10,TRUE
"15",736,0.5,8.70833333333334,13.3333333333333,736,505,511,0.5,"[0, 1, 10, 14, 37, 48, 101, 127, 186, 320, 383]",695,1,6.5,10,TRUE
"16",876,0.5,9.375,13.3333333333333,876,492,508,0.5,"[0, 1, 9, 22, 40, 95, 147, 236, 288, 329, 436]",853,1,-6.5,7,TRUE
"17",915,0.5,9.5,13.3333333333333,915,505,489,0.5,"[19, 50, 86, 109, 264, 315, 369]",709,1,6.5,-12,TRUE
"18",973,0.5,9.70833333333333,13.3333333333333,973,509,495,0.5,"[19, 50, 86, 109, 148, 172, 280]",815,1,10.5,-6,TRUE
"19",1055,0.5,9.99999999999999,13.3333333333333,1055,494,489,0.5,"[2, 33, 68, 82, 94, 123, 192, 245, 310]",814,1,-4.5,-12,TRUE
"20",1056,0.5,9.99999999999999,13.3333333333333,1056,493,490,0.5,"[2, 33, 68, 82, 94, 123, 192, 245, 310, 541]",814,1,-5.5,-11,TRUE
"21",1169,0.5,10.4166666666667,13.3333333333333,1169,508,511,0.5,"[0, 3, 7, 29, 51, 87, 116]",1014,1,9.5,10,TRUE
"22",1172,0.5,10.4166666666667,13.3333333333333,1172,493,512,0.5,"[0, 1, 9, 22, 40, 60, 63, 131, 298, 598]",809,1,-5.5,11,TRUE
"23",1180,0.5,10.4166666666667,13.3333333333333,1180,510,495,0.5,"[19, 50, 86, 109, 148, 172, 280, 346, 507, 572]",1113,1,11.5,-6,TRUE
"24",1244,0.5,10.7083333333333,13.3333333333333,1244,507,488,0.5,"[19, 50, 86, 109, 148, 172, 258, 278, 472]",927,1,8.5,-13,TRUE
"25",1280,0.5,10.8333333333333,13.3333333333333,1280,491,507,0.5,"[247, 266, 422, 482]",941,1,-7.5,6,TRUE
"26",1320,0.5,10.9583333333333,13.3333333333333,1320,509,506,0.5,"[0, 4, 23, 34, 78, 217, 386, 549, 670]",1250,1,10.5,5,TRUE
"27",1350,0.5,11.125,13.3333333333333,1350,510,505,0.5,"[0, 4, 23, 34, 78, 217, 386, 499, 509]",997,1,11.5,4,TRUE
"28",1355,0.5,11.125,13.3333333333333,1355,487,490,0.5,"[2, 33, 68, 82, 94, 123, 192, 245, 290, 411, 602, 638, 686]",1307,1,-11.5,-11,TRUE
"29",1357,0.5,11.1666666666666,13.3333333333333,1357,502,516,0.5,"[0, 1, 10, 14, 37, 48, 101, 127, 179, 182, 223, 254, 334, 519, 540, 688]",1053,1,3.5,15,TRUE
"30",1358,0.5,11.1666666666666,13.3333333333333,1358,501,515,0.5,"[0, 1, 10, 14, 37, 48, 101, 127, 179, 182, 223, 254, 334, 519, 540]",1053,1,2.5,14,TRUE
"31",1374,0.5,11.25,13.3333333333333,1374,493,487,0.5,"[2, 33, 68, 82, 94, 123, 192, 245, 290, 411, 503, 516, 546]",1067,1,-5.5,-14,TRUE
"32",1468,0.5,11.5416666666666,13.3333333333333,1468,499,516,0.5,"[0, 1, 9, 22, 41, 45, 77, 98, 126, 134, 164, 239, 282, 554, 614, 748]",1206,1,0.5,15,TRUE
