# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Wed Apr 29 09:38:49 PDT 2020 [seed=1588101533653]
# -window -working -options
state	pathLikelihood.delta	pathLikelihood.source	pathLikelihood.destination	pathLikelihood.theta	pathLikelihood.pathLikelihood
100000	-851.003711585123	-861.6915907892435	-10.687879204120513	1.0	-861.6915907892435
101000	-847.95021425898	-856.8810957811166	-8.930881522136577	1.0	-856.8810957811166
102000	-856.2050849024206	-871.1258970439976	-14.920812141577063	1.0	-871.1258970439976
103000	-848.2121064479807	-858.3750992409388	-10.162992792958068	1.0	-858.3750992409388
104000	-851.0581492353317	-854.2585124480272	-3.2003632126955015	1.0	-854.2585124480272
105000	-844.0728277063961	-856.664870402134	-12.59204269573797	1.0	-856.664870402134
106000	-839.0042132953574	-858.3206187378424	-19.31640544248497	1.0	-858.3206187378424
107000	-851.5822864956244	-870.153654976144	-18.57136848051956	1.0	-870.153654976144
108000	-848.429753712509	-860.840452887461	-12.410699174951993	1.0	-860.840452887461
109000	-844.7200379665824	-859.3755961489877	-14.655558182405358	1.0	-859.3755961489877
110000	-841.4512137827089	-863.7729743441865	-22.321760561477607	1.0	-863.7729743441865
111000	-854.0154553506295	-876.5869924939088	-22.571537143279308	1.0	-876.5869924939088
112000	-852.8721282089848	-874.3910240261498	-21.51889581716506	1.0	-874.3910240261498
113000	-863.5226274683412	-886.9053108198354	-23.382683351494265	1.0	-886.9053108198354
114000	-860.7738613143533	-886.5359283976555	-25.762067083302227	1.0	-886.5359283976555
115000	-849.3259694859524	-870.8869309997491	-21.560961513796606	1.0	-870.8869309997491
116000	-848.7592317604397	-865.8618621718167	-17.102630411377056	1.0	-865.8618621718167
117000	-852.1423304357477	-866.0015054161165	-13.859174980368836	1.0	-866.0015054161165
118000	-860.0042726065252	-867.3147189472812	-7.310446340756033	1.0	-867.3147189472812
119000	-860.3726134426043	-874.910948775073	-14.538335332468659	1.0	-874.910948775073
120000	-853.3344203355784	-868.4963570388477	-15.16193670326927	1.0	-868.4963570388477
121000	-846.5365218775698	-860.393132999189	-13.856611121619121	1.0	-860.393132999189
122000	-838.2084445541614	-852.2049390445865	-13.996494490425114	1.0	-852.2049390445865
123000	-839.5004907827495	-854.9425985082438	-15.44210772549432	1.0	-854.9425985082438
124000	-843.1579290846212	-853.3405353957495	-10.182606311128271	1.0	-853.3405353957495
125000	-840.4187527288011	-845.7808075959695	-5.362054867168305	1.0	-845.7808075959695
126000	-830.8145945095996	-842.4155061353619	-11.600911625762276	1.0	-842.4155061353619
127000	-833.3374844601698	-845.9483596823912	-12.610875222221477	1.0	-845.9483596823912
128000	-839.7116333936278	-851.2616335975283	-11.550000203900442	1.0	-851.2616335975283
129000	-838.9265765415194	-849.2235576800975	-10.296981138578216	1.0	-849.2235576800975
130000	-834.2512532173283	-850.7170836430506	-16.46583042572229	1.0	-850.7170836430506
131000	-843.5417571485499	-859.7286769188167	-16.18691977026681	1.0	-859.7286769188167
132000	-857.5367655351642	-866.3656038597159	-8.82883832455165	1.0	-866.3656038597159
133000	-839.4918152088562	-852.0596539763867	-12.567838767530468	1.0	-852.0596539763867
134000	-833.9007562444754	-840.677116010505	-6.776359766029568	1.0	-840.677116010505
135000	-844.5272126169914	-854.0466646973349	-9.519452080343548	1.0	-854.0466646973349
136000	-837.5221848344002	-850.5410601596358	-13.01887532523559	1.0	-850.5410601596358
137000	-842.5052480852371	-856.4403986894772	-13.935150604240087	1.0	-856.4403986894772
138000	-842.4895927693651	-853.4344585438796	-10.944865774514476	1.0	-853.4344585438796
139000	-833.1980163701169	-846.4665062781064	-13.26848990798953	1.0	-846.4665062781064
140000	-834.1040242658279	-846.6425569238653	-12.538532658037443	1.0	-846.6425569238653
141000	-842.3049609543081	-847.0981057095378	-4.793144755229667	1.0	-847.0981057095378
142000	-840.1547307482815	-849.1405027567151	-8.985772008433647	1.0	-849.1405027567151
143000	-843.7637937797248	-851.127925930319	-7.3641321505942114	1.0	-851.127925930319
144000	-844.1692570549451	-856.0267601860755	-11.857503131130393	1.0	-856.0267601860755
145000	-837.6747698208198	-850.114910364001	-12.440140543181247	1.0	-850.114910364001
146000	-837.739334829662	-848.8835395199352	-11.144204690273217	1.0	-848.8835395199352
147000	-856.8454203453402	-861.8966584045868	-5.051238059246506	1.0	-861.8966584045868
148000	-845.17945410105	-847.8454231943225	-2.665969093272407	1.0	-847.8454231943225
149000	-835.5365218578972	-841.6584221233862	-6.121900265489042	1.0	-841.6584221233862
150000	-858.5253150768164	-865.0412206310166	-6.515905554200185	1.0	-865.0412206310166
151000	-858.8988636662305	-861.7689907128255	-2.8701270465950213	1.0	-861.7689907128255
152000	-848.9341853568376	-864.9716420864164	-16.037456729578818	1.0	-864.9716420864164
153000	-839.3391278361755	-850.5175123360002	-11.178384499824682	1.0	-850.5175123360002
154000	-844.6704587254821	-852.6592487107288	-7.988789985246661	1.0	-852.6592487107288
155000	-852.7516806257996	-869.4736213003019	-16.72194067450232	1.0	-869.4736213003019
156000	-851.5206725443245	-871.0954545026029	-19.574781958278404	1.0	-871.0954545026029
157000	-847.7132782110094	-861.7887415142164	-14.075463303206963	1.0	-861.7887415142164
158000	-844.7601929593628	-854.5539600745972	-9.793767115234292	1.0	-854.5539600745972
159000	-845.9167058815475	-857.7589438597552	-11.842237978207672	1.0	-857.7589438597552
160000	-839.9438383985148	-858.9659428166309	-19.02210441811613	1.0	-858.9659428166309
161000	-850.0455165425115	-869.3679043053238	-19.322387762812383	1.0	-869.3679043053238
162000	-840.9112977792742	-856.2502470547907	-15.338949275516626	1.0	-856.2502470547907
163000	-842.9483148893726	-861.5689646807931	-18.62064979142056	1.0	-861.5689646807931
164000	-846.4578712547043	-870.0348197841444	-23.576948529440024	1.0	-870.0348197841444
165000	-843.654825478404	-851.7312879462561	-8.076462467852155	1.0	-851.7312879462561
166000	-832.2182006086302	-840.5221402355702	-8.303939626939918	1.0	-840.5221402355702
167000	-841.1608768620126	-851.2254577378325	-10.064580875819809	1.0	-851.2254577378325
168000	-847.4577277416411	-849.2524105854417	-1.7946828438006683	1.0	-849.2524105854417
169000	-844.4251378919674	-855.6556314141166	-11.230493522149164	1.0	-855.6556314141166
170000	-841.9452716982831	-855.181192730534	-13.235921032250907	1.0	-855.181192730534
171000	-844.7695714810038	-865.257784699006	-20.48821321800219	1.0	-865.257784699006
172000	-852.0835136745366	-873.9127045286183	-21.82919085408171	1.0	-873.9127045286183
173000	-845.2029449112559	-867.431652341681	-22.22870743042504	1.0	-867.431652341681
174000	-844.9644748962844	-866.9859088113902	-22.021433915105824	1.0	-866.9859088113902
175000	-859.1104555754104	-886.8997985875499	-27.78934301213946	1.0	-886.8997985875499
176000	-853.5475491972348	-881.2009928386436	-27.65344364140875	1.0	-881.2009928386436
177000	-855.9386277757035	-880.0493642007676	-24.11073642506416	1.0	-880.0493642007676
178000	-851.1568439268378	-869.1802730104681	-18.02342908363024	1.0	-869.1802730104681
179000	-850.395567777999	-864.53702664781	-14.141458869810993	1.0	-864.53702664781
180000	-863.9568556229599	-881.970179467301	-18.013323844341095	1.0	-881.970179467301
181000	-857.2847354809871	-872.7788016413222	-15.494066160334967	1.0	-872.7788016413222
182000	-853.1028523071027	-866.7555151235263	-13.65266281642361	1.0	-866.7555151235263
183000	-846.2309827580423	-852.3168660093133	-6.085883251271029	1.0	-852.3168660093133
184000	-843.8934535748983	-852.6644356633575	-8.770982088459125	1.0	-852.6644356633575
185000	-852.0656184949761	-867.0637496986736	-14.998131203697563	1.0	-867.0637496986736
186000	-854.2578181552925	-877.1379462097868	-22.88012805449436	1.0	-877.1379462097868
187000	-847.3636947927491	-874.3004029593205	-26.936708166571368	1.0	-874.3004029593205
188000	-849.0264959528645	-870.6049281732445	-21.578432220380027	1.0	-870.6049281732445
189000	-849.7393500946475	-867.0147162950152	-17.275366200367625	1.0	-867.0147162950152
190000	-842.2378416381346	-854.890818396354	-12.652976758219483	1.0	-854.890818396354
191000	-830.8770150813941	-844.1963052880908	-13.319290206696664	1.0	-844.1963052880908
192000	-837.0025236427114	-854.8063041786726	-17.80378053596117	1.0	-854.8063041786726
193000	-842.5686639645108	-854.638793170052	-12.070129205541171	1.0	-854.638793170052
194000	-847.8011014451827	-864.046529287612	-16.245427842429365	1.0	-864.046529287612
195000	-840.1642893895139	-855.888617905162	-15.72432851564812	1.0	-855.888617905162
196000	-836.9651561693781	-855.7535227523936	-18.788366583015385	1.0	-855.7535227523936
197000	-840.2598254279304	-852.8545156509784	-12.594690223047992	1.0	-852.8545156509784
198000	-845.1451488947847	-861.3889269418454	-16.243778047060676	1.0	-861.3889269418454
199000	-836.4807882623514	-859.0145280215285	-22.53373975917703	1.0	-859.0145280215285
200000	-845.924105221756	-872.1968434713185	-26.272738249562476	1.0	-872.1968434713185
201000	-850.5489794149287	-871.476591445561	-20.927612030632265	1.0	-871.476591445561
202000	-845.6862729344296	-869.8995987687637	-24.213325834334086	1.0	-869.8995987687637
203000	-853.7410432096806	-887.6224327718368	-33.88138956215616	1.0	-887.6224327718368
204000	-853.6916027944108	-886.5419638992933	-32.850361104882516	1.0	-886.5419638992933
205000	-852.1715172906866	-890.2942496879377	-38.12273239725114	1.0	-890.2942496879377
