"","X","alpha","birthdate","deathdate","index","locx","locy","mutation_rate","mutations","parent_index","proliferation_rate","norm_locx","norm_locy","sampled","cluster"
"1",22,0.5,3,13.3333333333333,22,500,503,0.5,"[0, 1, 8]",13,1,1.5,2,FALSE,1
"2",27,0.5,3.20833333333333,13.3333333333333,27,503,505,0.5,"[0, 3, 7, 11]",25,1,4.5,4,FALSE,1
"3",33,0.5,3.33333333333333,13.3333333333333,33,499,503,0.5,"[0, 1]",14,1,0.5,2,TRUE,1
"4",34,0.5,3.33333333333333,13.3333333333333,34,499,502,0.5,"[0, 1, 13]",14,1,0.5,1,FALSE,1
"5",36,0.5,3.33333333333333,13.3333333333333,36,500,504,0.5,"[0, 1, 10, 15]",24,1,1.5,3,FALSE,1
"6",38,0.5,3.5,13.3333333333333,38,501,502,0.5,"[0, 3, 17]",20,1,2.5,1,FALSE,1
"7",42,0.5,3.625,13.3333333333333,42,500,500,0.5,"[2, 5]",16,1,1.5,-1,FALSE,1
"8",44,0.5,3.66666666666666,13.3333333333333,44,500,498,0.5,"[20]",29,1,1.5,-3,FALSE,1
"9",45,0.5,3.66666666666666,13.3333333333333,45,501,503,0.5,"[0, 3, 16]",37,1,2.5,2,FALSE,1
"10",52,0.5,3.79166666666666,13.3333333333333,52,500,502,0.5,"[0, 4, 24]",12,1,1.5,1,FALSE,1
"11",54,0.5,3.79166666666666,13.3333333333333,54,500,501,0.5,"[]",32,1,1.5,0,FALSE,1
"12",58,0.5,3.87499999999999,13.3333333333333,58,499,501,0.5,"[]",31,1,0.5,0,FALSE,1
"13",60,0.5,3.91666666666666,13.3333333333333,60,499,499,0.5,"[2, 6, 27]",56,1,0.5,-2,FALSE,1
"14",64,0.5,4.04166666666666,13.3333333333333,64,499,498,0.5,"[2]",17,1,0.5,-3,FALSE,1
"15",68,0.5,4.08333333333333,13.3333333333333,68,501,499,0.5,"[2, 5, 30]",41,1,2.5,-2,FALSE,1
"16",69,0.5,4.16666666666666,13.3333333333333,69,502,501,0.5,"[25]",53,1,3.5,0,FALSE,1
"17",70,0.5,4.16666666666666,13.3333333333333,70,501,500,0.5,"[25, 31]",53,1,2.5,-1,FALSE,1
"18",74,0.5,4.20833333333333,13.3333333333333,74,501,501,0.5,"[0, 4, 23, 35]",51,1,2.5,0,FALSE,1
"19",75,0.5,4.25,13.3333333333333,75,500,505,0.5,"[0, 1, 10, 14, 36]",35,1,1.5,4,FALSE,1
"20",80,0.5,4.29166666666666,13.3333333333333,80,498,499,0.5,"[2, 6, 18, 39]",39,1,-0.5,-2,FALSE,6
"21",85,0.5,4.33333333333333,13.3333333333333,85,498,501,0.5,"[2, 6, 26, 42]",55,1,-0.5,0,FALSE,1
"22",86,0.5,4.33333333333333,13.3333333333333,86,499,500,0.5,"[2, 6, 26]",55,1,0.5,-1,FALSE,1
"23",92,0.5,4.45833333333333,13.3333333333333,92,500,499,0.5,"[12, 46]",30,1,1.5,-2,FALSE,1
"24",93,0.5,4.5,13.3333333333333,93,497,498,0.5,"[2, 6, 27]",62,1,-1.5,-3,FALSE,1
"25",96,0.5,4.54166666666666,13.3333333333333,96,501,504,0.5,"[0, 1, 10, 14, 37]",76,1,2.5,3,FALSE,3
"26",98,0.5,4.54166666666666,13.3333333333333,98,502,502,0.5,"[0, 3, 16]",46,1,3.5,1,FALSE,1
"27",100,0.5,4.58333333333333,13.3333333333333,100,498,500,0.5,"[2, 6, 21, 49]",47,1,-0.5,-1,FALSE,1
"28",106,0.5,4.70833333333333,13.3333333333333,106,502,504,0.5,"[0, 3, 7, 29]",66,1,3.5,3,FALSE,1
"29",107,0.5,4.70833333333333,13.3333333333333,107,504,503,0.5,"[0, 3, 16, 52]",97,1,5.5,2,FALSE,1
"30",110,0.5,4.75,13.3333333333333,110,500,506,0.5,"[0, 1, 9, 22, 41, 45]",90,1,1.5,5,FALSE,8
"31",112,0.5,4.75,13.3333333333333,112,502,500,0.5,"[0, 4, 23, 34]",73,1,3.5,-1,FALSE,1
"32",114,0.5,4.79166666666667,13.3333333333333,114,498,496,0.5,"[2, 32, 44, 54]",88,1,-0.5,-5,FALSE,1
"33",120,0.5,4.83333333333333,13.3333333333333,120,502,505,0.5,"[0, 3, 7, 59]",65,1,3.5,4,FALSE,1
"34",122,0.5,4.875,13.3333333333333,122,499,506,0.5,"[0, 1, 9, 22, 40, 61]",116,1,0.5,5,TRUE,8
"35",125,0.5,4.95833333333333,13.3333333333333,125,503,502,0.5,"[0, 3, 7, 64]",26,1,4.5,1,FALSE,1
"36",126,0.5,4.95833333333333,13.3333333333333,126,502,503,0.5,"[0, 3, 7]",26,1,3.5,2,FALSE,1
"37",130,0.5,4.95833333333333,13.3333333333333,130,501,497,0.5,"[19, 67]",82,1,2.5,-4,FALSE,1
"38",132,0.5,4.95833333333333,13.3333333333333,132,498,497,0.5,"[2, 33, 69]",72,1,-0.5,-4,FALSE,1
"39",133,0.5,5,13.3333333333333,133,500,497,0.5,"[12, 70]",91,1,1.5,-4,FALSE,1
"40",134,0.5,5,13.3333333333333,134,501,498,0.5,"[12]",91,1,2.5,-3,FALSE,1
"41",135,0.5,5,13.3333333333333,135,499,504,0.5,"[0, 1, 9]",78,1,0.5,3,FALSE,1
"42",136,0.5,5,13.3333333333333,136,499,505,0.5,"[0, 1, 9, 71]",78,1,0.5,4,FALSE,1
"43",140,0.5,5.08333333333333,13.3333333333333,140,503,504,0.5,"[0, 3, 7, 29, 51, 74]",105,1,4.5,3,FALSE,1
"44",142,0.5,5.08333333333333,13.3333333333333,142,501,505,0.5,"[0, 1, 10, 14, 37, 48, 75]",95,1,2.5,4,FALSE,3
"45",144,0.5,5.16666666666667,13.3333333333333,144,497,499,0.5,"[2, 6, 27, 28]",61,1,-1.5,-2,FALSE,1
"46",146,0.5,5.16666666666667,13.3333333333333,146,500,507,0.5,"[0, 1, 9, 22, 41, 45]",109,1,1.5,6,TRUE,8
"47",148,0.5,5.20833333333334,13.3333333333333,148,498,506,0.5,"[0, 1, 9, 22, 40, 55]",115,1,-0.5,5,FALSE,8
"48",156,0.5,5.25,13.3333333333333,156,497,496,0.5,"[2, 33, 68, 83]",131,1,-1.5,-5,FALSE,1
"49",158,0.5,5.29166666666667,13.3333333333333,158,502,499,0.5,"[2, 5, 57, 85]",118,1,3.5,-2,FALSE,1
"50",159,0.5,5.29166666666667,13.3333333333333,159,497,504,0.5,"[0, 73]",138,1,-1.5,3,FALSE,1
"51",160,0.5,5.29166666666667,13.3333333333333,160,498,503,0.5,"[0, 73]",138,1,-0.5,2,FALSE,1
"52",161,0.5,5.33333333333334,13.3333333333333,161,502,496,0.5,"[19, 50]",103,1,3.5,-5,TRUE,1
"53",164,0.5,5.33333333333334,13.3333333333333,164,504,505,0.5,"[0, 3, 7, 29, 51, 88]",139,1,5.5,4,FALSE,1
"54",165,0.5,5.375,13.3333333333333,165,501,496,0.5,"[19, 89]",152,1,2.5,-5,FALSE,1
"55",167,0.5,5.375,13.3333333333333,167,503,498,0.5,"[19]",154,1,4.5,-3,FALSE,1
"56",168,0.5,5.375,13.3333333333333,168,502,498,0.5,"[19, 90]",154,1,3.5,-3,FALSE,1
"57",174,0.5,5.41666666666667,13.3333333333333,174,498,505,0.5,"[0, 1, 9, 22, 40]",101,1,-0.5,4,FALSE,8
"58",176,0.5,5.41666666666667,13.3333333333333,176,500,496,0.5,"[19, 97]",166,1,1.5,-5,FALSE,1
"59",178,0.5,5.41666666666667,13.3333333333333,178,499,508,0.5,"[0, 1, 9, 22, 41, 45, 77]",145,1,0.5,7,FALSE,2
"60",180,0.5,5.45833333333334,13.3333333333333,180,498,502,0.5,"[99]",57,1,-0.5,1,FALSE,1
"61",184,0.5,5.5,13.3333333333333,184,502,506,0.5,"[0, 1, 10, 14, 37, 48, 102]",141,1,3.5,5,FALSE,3
"62",186,0.5,5.5,13.3333333333333,186,499,495,0.5,"[2, 32, 44, 53, 92, 104]",170,1,0.5,-6,FALSE,10
"63",187,0.5,5.5,13.3333333333333,187,497,505,0.5,"[0, 1, 9, 38]",77,1,-1.5,4,FALSE,1
"64",188,0.5,5.5,13.3333333333333,188,498,504,0.5,"[0, 1, 9, 38, 105]",77,1,-0.5,3,TRUE,1
"65",189,0.5,5.58333333333334,13.3333333333333,189,502,494,0.5,"[19, 96, 106]",175,1,3.5,-7,FALSE,1
"66",190,0.5,5.58333333333334,13.3333333333333,190,501,495,0.5,"[19, 96, 107]",175,1,2.5,-6,FALSE,1
