state	treeLength	tsliceX	tsliceY	tsliceZ	sliceg
10000	590.810857559	15.9666756795	-5.45442551612	1.7763568394e-15	zeta
11000	559.385631874
12000	547.394694086	-22.7732141652	13.9622087142	-2.6645352591e-14	epsilon
13000	534.7267256	-13.7967416285	-18.5981495477	-1.42108547152e-14	mu
14000	473.047622647	-13.0791471117	-2.30024397285	2.84217094304e-14	eta
15000	475.06335479	14.1007664292	11.2301775566	-5.86197757002e-14	gamma
16000	457.739138319	1.04101094064	3.82427054928	-3.01980662698e-14	beta
17000	439.724412852	-7.53137707439	9.95319744156	-1.59872115546e-14	gamma
18000	427.512056951	18.9727637022	27.8079331578	0.0	beta
19000	414.262287085
20000	398.202309163	4.21773410912	-19.4577500706	1.7763568394e-15	mu
21000	389.766362189	6.4244086537	0.294670430176	7.1054273576e-15	zeta
22000	385.045367157	-9.10602303565	14.1695803414	-7.1054273576e-15	zeta
23000	382.973233018	-7.25477229422	6.4738168542	7.1054273576e-15	epsilon
24000	373.039272316	22.9181114612	1.38677758443	0.0	mu
25000	367.270453593	-20.334279416	24.0596318324	-5.3290705182e-15	eta
26000	358.600487394	-21.6329184004	4.98974750149	1.59872115546e-14	zeta
27000	355.268595228	1.60036365644	-2.79767109798	-5.3290705182e-15	beta
27000	355.268595228	0.742665987624	-2.79177834936	0.00540696150876	beta
28000	346.796439336	2.63662656185	-6.46643300782	1.42108547152e-14	alpha
29000	345.415991769	-2.84422420519	-1.25191385852	-1.7763568394e-15	gamma
30000	341.681398466	0.222005604875	8.08472528651	-5.3290705182e-15	beta
31000	336.152662694	9.73438611962	-9.39195904062	5.3290705182e-15	mu
32000	323.498566884	6.5560826824	8.46998413588	5.3290705182e-15	zeta
33000	314.593307235	-10.1874038747	-3.95310962542	-1.42108547152e-14	mu
34000	306.626770008	-3.09503602493	0.553477778612	6.2172489379e-15	delta
35000	292.929525941	-1.34991607614	18.3639405233	7.9936057773e-15	zeta
36000	293.473726411	-2.82774801878	-9.25657440601	-1.50990331349e-14	gamma
37000	285.646559312	-7.53163625885	2.05305805572	-1.59872115546e-14	zeta
38000	275.801418399	-8.03505088783	-7.94044875917	-9.32587340685e-15	eta
39000	274.32241615	1.89520592966	-9.85290596083	3.99680288865e-15	zeta
40000	260.279241521	-0.55342319355	5.9598364608	3.50830475782e-14	delta
41000	256.223036774	2.08973396964	4.83097743265	1.02140518266e-14	alpha
42000	242.555402087	-5.28655818386	-7.27544811496	1.42108547152e-14	eta
43000	227.050082172	-1.86127157844	-8.42408605104	-7.1054273576e-15	alpha
