# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Fri Apr 24 09:42:32 PDT 2020 [seed=1587746503633]
# -window -working -options
state	posterior	prior	likelihood	treeModel.rootHeight	exponential.popSize	exponential.growthRate	clock.rate	meanRate	location.precision.col11	location.precision.col12	location.precision.col21	location.precision.col22	correlation	location.varCovar.location.precision.col11	location.varCovar.location.precision.col12	location.varCovar.location.precision.col21	location.varCovar.location.precision.col22	location.diffusionRate	treeLikelihood	branchRates	location.traitLikelihood	coalescent
0	-1.0674884546927072E7	-276.80914568250057	-1.0674607737781389E7	1.1951534905304917	1.0	0.0	1.0	1.0	0.05	0.002	0.002	0.05	-0.04	20.03205128205128	-0.8012820512820512	-0.8012820512820512	20.03205128205128	35463.070476348024	-2767.349755480817	0.0	-1.0671840388025908E7	-270.309374561976
10000	-4225.885485939301	-420.1091722022854	-3805.7763137370157	0.6497386952799027	1.8731587921509956	3.44130099317852	1.0	1.0	4.275354336495811E-5	-9.22745810628566E-6	-9.22745810628566E-6	3.762458790910724E-5	0.23007008289486358	24697.149709605168	6056.9942942786165	6056.994294278616	28063.846537037636	42204.730905125514	-1754.018234681497	0.0	-2051.758079055519	-415.394487688287
20000	-3718.5524480021686	-453.7583348945311	-3264.7941131076377	0.3342422939833627	2.7200531569675586	13.650913828739654	1.0	1.0	6.77112655313679E-5	-1.61146205695617E-5	-1.61146205695617E-5	6.585396438711854E-5	0.24132296716765889	15681.851654312357	3837.3861253344407	3837.3861253344407	16124.132104586972	38286.584907962104	-1342.741670291634	0.0	-1922.052442816004	-437.2810804864362
30000	-3518.918416365534	-467.1002174955491	-3051.818198869985	0.2569818253582641	3.596129295221538	21.58269073505006	1.0	1.0	7.612638646652009E-5	-2.4212907264720465E-5	-2.4212907264720465E-5	9.266880867789158E-5	0.28827869078316665	14326.661255094992	3743.3320373032698	3743.332037303269	11769.191457626663	34368.05274636633	-1177.82585653908	0.0	-1873.9923423309049	-441.5432146215387
40000	-3308.1487336687187	-465.494541108468	-2842.6541925602505	0.1557185584308344	3.8727466217552777	28.046677010489066	1.0	1.0	1.0065552546643739E-4	-2.4148105847462973E-5	-2.4148105847462973E-5	1.0437448670631803E-4	0.23559555062262047	10518.71861667495	2433.613218619741	2433.6132186197415	10143.926767985964	32183.4075404481	-1049.9731879392316	0.0	-1792.6810046210187	-431.2873594782137
50000	-3155.16608277537	-458.6099492047638	-2696.556133570606	0.15073570341448755	3.8998683018410247	28.41989062615437	1.0	1.0	1.0926837760338813E-4	-2.3982835086431705E-5	-2.3982835086431705E-5	1.1082360215560811E-4	0.21794009839831663	9608.145191443944	2079.2552951792973	2079.2552951792973	9473.310887086589	31997.211013974793	-944.3533537255653	0.0	-1752.202779845041	-423.46430763276334
60000	-3006.226478930772	-443.0519861921536	-2563.1744927386185	0.16090006182161506	3.473136574487164	26.170804035547174	1.0	1.0	1.550883699115973E-4	-5.011401581983489E-5	-5.011401581983489E-5	1.1874352952694392E-4	0.3692875049070525	7466.115234601953	3150.967622995012	3150.967622995012	9751.332522449742	30319.374520621506	-850.2409760838485	0.0	-1712.93351665477	-409.30399717536966
70000	-2872.3253093530666	-446.6791561236089	-2425.6461532294575	0.1917515172588477	3.109162498549726	24.417298215172984	1.0	1.0	1.4822716938769266E-4	-4.3167039319841574E-5	-4.3167039319841574E-5	1.3373093003021837E-4	0.3066001922509982	7446.389515641237	2403.6218767035257	2403.6218767035257	8253.567367042786	28894.124293362493	-743.0413457012326	0.0	-1682.604807528225	-413.20864902384284
80000	-2779.9067347010027	-471.83575552085097	-2308.070979180152	0.19905435958010023	3.423726935161245	21.108806468901363	1.0	1.0	1.5333157918355687E-4	-4.936400475855407E-5	-4.936400475855407E-5	1.6146918800750087E-4	0.313725449752738	7233.789791924	2211.4982933730244	2211.4982933730244	6869.2264200032705	25383.06603826225	-651.680081821827	0.0	-1656.3908973583248	-438.88914558413455
90000	-2683.2549598309724	-449.166136389786	-2234.0888234411864	0.2693537706086184	3.0182831371377845	19.09481522311613	1.0	1.0	1.8321843542077527E-4	-7.082040485432918E-5	-7.082040485432918E-5	1.7101106666052215E-4	0.40009369927103766	6498.158575958707	2691.0669007789093	2691.0669007789093	6962.019889430308	25436.367791889545	-591.7260972994873	0.0	-1642.362726141699	-421.0604558917823
